datset_risks2 (1);;;;;
Бариста;70;Високий;"М'які навички (Soft skills):

Комунікабельність — привітне, доброзичливе спілкування з клієнтами для створення приємної атмосфери.

Стресостійкість — здатність ефективно працювати під час великого потоку клієнтів або в години пік.

Уважність до деталей — точне приготування замовлень згідно з побажаннями клієнта.

Гнучкість — готовність швидко адаптуватися до нових рецептів, обладнання чи форматів обслуговування.



Технічні навички (Hard skills):

Професійне приготування кави — знання різних методів заварювання (еспресо, пуровер, френч-прес тощо).

Робота з кавомашинами — впевнене користування професійним обладнанням, його налаштування й обслуговування.

Знання асортименту — розуміння складників напоїв, сезонних меню, спеціальних замовлень.

Робота з POS-системами — прийом оплат, введення замовлень, друк чеків.

Основи гігієни та безпеки харчових продуктів — дотримання санітарних норм, чистота на робочому місці.";McKinsey;"1) Тренер-бариста — проводить навчання нових працівників, підвищує стандарти обслуговування й приготування кави.

2) Менеджер кавʼярні — відповідає за організацію роботи закладу, графіки, замовлення товару, контроль якості.

3) Спеціаліст із закупівель кави — працює з постачальниками, обирає сорти кави, контролює якість поставок.

4) Оператор кавових автоматів / кавових систем — налагоджує, обслуговує та моніторить напівавтоматичні кавові станції.

5) Бариста в сегменті преміум / спеціалізованих напоїв — готує складні авторські кавові напої, працює в high-end закладах."
SMM-спеціаліст;48;Середній;"Креативний контент та брендинг — створення унікальних ідей і візуалів, які резонують з аудиторією.

Стратегічне планування — розробка комплексних маркетингових кампаній з урахуванням трендів і поведінки користувачів.

Аналітика та адаптація — глибокий аналіз результатів кампаній і швидке коригування стратегії.

Емоційний інтелект — робота з аудиторією, управління репутацією, реакція на кризи.

Використання AI-інструментів — комбінування автоматизації з людським творчим підходом.

Тренди та нові платформи — постійне навчання і впровадження нових форматів, наприклад, TikTok, Reels, метавсесвіт.";Hootsuite, WEF;"1) AI-Enhanced Content Strategist — розробляє ідеї і кампанії з підтримкою ШІ, оптимізуючи залучення аудиторії.

2) Community Engagement Specialist — управляє онлайн-спільнотами, підвищуючи лояльність і активність.

3) Ethical Social Media Manager — слідкує за прозорістю і етикою в рекламних кампаніях і контенті.

4) Immersive Social Experience Designer — створює інтерактивні і VR/AR кампанії для глибшої взаємодії.

5) Data-Driven SMM Analyst — аналізує поведінку користувачів і тренди, використовуючи великі дані і ШІ.
"
Маркетолог;38;Середній;"Стратегічне мислення — розробка комплексних маркетингових планів з урахуванням людського досвіду та інтуїції.

Креативність та брендинг — створення унікальних концепцій і позиціювання бренду, які складно автоматизувати.

Аналітика і інтерпретація даних — аналіз результатів кампаній, розуміння поведінки клієнтів і прийняття рішень на основі комплексних даних.

Міжособистісні навички — управління командами, переговори, побудова партнерств.

Впровадження інновацій — використання нових технологій, включаючи AI, AR/VR, для маркетингових кампаній.

Управління клієнтським досвідом (CX) — створення цілісного і позитивного досвіду для споживачів.";WEF, McKinsey;"1) AI-Driven Marketing Strategist — розробляє маркетингові стратегії з активним використанням ШІ-аналітики.

2) Creative Brand Innovator — формує нові концепції брендів з фокусом на унікальність і емоційний зв’язок.

3) Customer Experience Architect — проектує та оптимізує шлях клієнта з урахуванням даних і технологій.

4) Ethical Marketing Officer — контролює дотримання етичних норм у рекламі та взаємодії з аудиторією.

5) Immersive Campaign Designer — створює інтерактивні і віртуальні маркетингові проєкти з використанням VR/AR."
Аналітик даних;26;Низький;"Штучний інтелект не замінить аналітиків даних, а навпаки — стане потужним інструментом для обробки великих обсягів інформації і підтримки прийняття рішень.
Але ви можете покращити такі навички, щоб максимально ефективно працювати з новими технологіями:

М'які навички (Soft skills):
Критичне мислення — аналіз і інтерпретація даних для бізнес-рішень.
Комунікабельність — зрозуміла подача складної інформації різним аудиторіям.
Проблемне мислення — пошук причинно-наслідкових зв’язків.
Адаптивність — освоєння нових інструментів і методів аналізу.

Технічні навички (Hard skills):
Володіння мовами програмування для аналізу даних (Python, R, SQL).
Робота з BI-інструментами (Tableau, Power BI, Qlik).
Знання статистики, машинного навчання та баз даних.
Навички роботи з великими даними (Big Data) та хмарними сервісами.
Знайомство з AI-платформами для автоматизації аналізу.";McKinsey, IBM;"Очікується зростання попиту на аналітиків даних у таких сферах:
1) Бізнес-аналітика для прийняття стратегічних рішень.
2) Робота з AI і машинним навчанням для автоматизації процесів.
3) Аналіз великих даних у фінансах, медицині, маркетингу.
4) Розробка дашбордів і візуалізацій для керівництва.
"
Перекладач;78;Високий;"М'які навички (Soft skills):

Уважність до деталей — точна передача значень без спотворень, з урахуванням контексту.

Гнучкість мислення — здатність адаптувати переклад до культури, стилю, аудиторії.

Комунікативні навички — чітке, грамотне письмове та усне спілкування кількома мовами.

Стресостійкість — здатність працювати з великим обсягом текстів у стислі строки.



Технічні навички (Hard skills):

Володіння щонайменше двома мовами на високому рівні — включно з граматикою, стилістикою та термінологією.

Навички письмового та/або усного перекладу — точна передача сенсу текстів, промов, діалогів.

Робота з CAT-інструментами (наприклад, SDL Trados, MemoQ) — для перекладу з пам’яттю та термінологічними базами.

Редагування та вичитка перекладів — перевірка на відповідність, помилки, стилістичну цілісність.

Володіння цифровими форматами — переклад субтитрів, вебсайтів, документів, робота з PDF, Excel, PowerPoint.";Google Translate, WEF;"1) Локалізатор контенту — адаптує програмне забезпечення, сайти, ігри до культурних особливостей цільової мови.

2) Редактор перекладів / лінгвістичний рев’юер — перевіряє якість перекладів інших фахівців.

3) Спеціаліст зі штучного інтелекту в мовах — бере участь у вдосконаленні мовних моделей, перевіряє якість перекладу ШІ.

4) Технічний перекладач — працює з інструкціями, технічною документацією, стандартами.

5) Усний перекладач для міжнародних подій, судів, бізнесу — забезпечує синхронний або послідовний переклад наживо."
Агроном;41;Середній;"Глибокі знання біології та агроекології — розуміння специфіки ґрунтів, культур і кліматичних умов.

Інтеграція з технологіями — використання дронів, сенсорів, та систем дистанційного моніторингу.

Стратегічне планування — розробка довгострокових аграрних програм з урахуванням змін клімату та ринку.

Управління ризиками — моделювання впливу зовнішніх факторів (погодні умови, шкідники).

Екологічна сталисть — впровадження сталих технологій та органічного землеробства.

Комунікація з фермерами та агроекспертами — передача знань і координація дій.";FAO, McKinsey;"1) AI-Powered Crop Management Specialist — аналізує дані з різних джерел для оптимізації врожаю з допомогою ШІ.

2) Sustainable Agriculture Consultant — впроваджує екологічно чисті та економічно ефективні технології.

3) Agro-Technology Integrator — інтегрує новітні технології у традиційне землеробство.

4) Climate Resilience Planner — розробляє стратегії адаптації агросектору до кліматичних змін.

5) Data-Driven Pest and Disease Analyst — використовує аналітику для раннього виявлення і контролю шкідників та хвороб."
Механік;54;Середній;"Глибокі технічні знання — розуміння складних систем і новітніх технологій.

Навички роботи з діагностичним обладнанням — використання комп’ютерних систем для аналізу несправностей.

Ремонт і обслуговування складних механізмів — виконання нестандартних завдань, які не може автоматизувати робот.

Інтеграція з цифровими технологіями — знання IoT, сенсорів та систем автоматичного контролю.

Профілактичне обслуговування — передбачення і запобігання несправностям.

Комунікація з клієнтами та командами — пояснення технічних рішень і координація роботи.";McKinsey;"1) AI-Assisted Diagnostic Technician — використовує ШІ для точнішої діагностики та швидшого ремонту.

2) Smart Systems Mechanic — обслуговує та ремонтує системи розумного обладнання і робототехніки.

3) Predictive Maintenance Specialist — займається прогнозуванням технічного стану машин за допомогою аналітики даних.

4) Robotics Integration Technician — допомагає впроваджувати та підтримувати роботизовані системи у виробництві.

5) Sustainability Repair Expert — спеціалізується на ремонті та модернізації обладнання з метою зменшення екологічного впливу."
Будівельник;62;Високий;"М'які навички (Soft skills):

Уважність до безпеки — дотримання техніки безпеки на будівництві.

Фізична витривалість — здатність працювати в складних умовах протягом тривалого часу.

Командна робота — узгоджені дії з колегами та майстрами.

Дисципліна — пунктуальність, відповідальність за виконання завдань.



Технічні навички (Hard skills):

Читання креслень і схем — розуміння технічної документації для правильного виконання робіт.

Робота з будівельними інструментами та технікою — впевнене користування ручним і електроінструментом.

Навички монтажу, бетонування, кладки — практичне виконання основних будівельних операцій.

Базові знання будівельних матеріалів — розуміння характеристик і застосування різних матеріалів.

Дотримання будівельних норм і стандартів — виконання робіт відповідно до вимог безпеки та якості.";WEF, MIT Review;"1) Бригадир, майстер — керівництво командою, планування етапів.

2) Спеціаліст з технічного нагляду — контроль якості робіт і відповідності проєкту.

3) Оператор будівельної техніки — робота з екскаватором, краном тощо.

4) Фахівець з енергоефективного будівництва — нові стандарти утеплення та систем.

5) Монтажник модульних конструкцій — сучасні швидкісні технології будівництва."
Стоматолог;22;Низький;"Штучний інтелект не замінить стоматологів, адже їхня робота вимагає високої точності, індивідуального підходу та взаємодії з пацієнтом.
Але ви можете покращити такі навички, щоб залишатися конкурентними та працювати з новими технологіями:

М'які навички (Soft skills):
Комунікабельність — ефективне спілкування з пацієнтами та колегами.
Уважність до деталей — точне виконання процедур і діагностики.
Стресостійкість — робота з пацієнтами у складних ситуаціях.
Емпатія — підтримка і розуміння емоційного стану пацієнтів.

Технічні навички (Hard skills):
Володіння сучасними методами діагностики (3D-сканування, цифрова рентгенографія).
Знання технологій CAD/CAM для створення протезів і коронок.
Навички роботи з лазерною терапією та мінімальноінвазивними методами.
Ознайомлення з AI-системами для діагностики та планування лікування.";ADA, WEF;"Очікується зростання попиту на стоматологів у таких сферах:
1) Використання цифрових технологій для планування та проведення процедур.
2) Розробка і застосування індивідуалізованих протезів і імплантів.
3) Впровадження AI для ранньої діагностики захворювань.
4) Профілактична стоматологія та телемедицина.
"
Педіатр;19;Низький;"Штучний інтелект не замінить педіатрів, адже робота з дітьми вимагає не тільки медичних знань, а й людського тепла, розуміння психології дитини та підтримки батьків.
Але ви можете покращити такі навички, щоб бути ефективними у сучасній медицині:

М'які навички (Soft skills):
Емпатія — підтримка дітей і їхніх сімей у складних ситуаціях.
Комунікабельність — пояснення діагнозу і рекомендацій батькам.
Стресостійкість — робота з емоційно напруженими випадками.
Адаптивність — швидке освоєння нових медичних технологій і протоколів.

Технічні навички (Hard skills):
Володіння електронними медичними картками та системами моніторингу.
Знання сучасних методів діагностики та лікування дитячих захворювань.
Навички роботи з телемедичними платформами.
Розуміння застосування AI у підтримці діагностики та планування лікування.";WHO;"Очікується зростання попиту на педіатрів у таких сферах:
1) Телемедицина та дистанційне спостереження за пацієнтами.
2) Розробка персоналізованих планів лікування за допомогою AI.
3) Профілактична медицина та освіта батьків.
4) Психологічна підтримка дітей із хронічними захворюваннями.
"
Фармацевт;66;Високий;"М'які навички (Soft skills):

Комунікабельність — ввічливе і зрозуміле спілкування з пацієнтами та колегами.

Уважність і точність — ретельне дотримання дозувань та інструкцій, уникнення помилок у видачі ліків.

Стресостійкість — здатність працювати в умовах великого потоку клієнтів і зберігати спокій.

Відповідальність — суворе дотримання правил зберігання та обліку лікарських засобів, конфіденційності даних.

Аналітичне мислення — вміння оцінити симптоми клієнта і надати правильні рекомендації або направити до лікаря.



Технічні навички (Hard skills):

Знання фармацевтичних препаратів — розуміння дії, побічних ефектів, сумісності ліків.

Робота з аптечними програмами — введення, оновлення інформації про товари, ведення обліку продажів.

Володіння основами фармакології та фармацевтичної хімії — для правильного консультування клієнтів.

Навички контролю якості — перевірка термінів придатності, умов зберігання препаратів.

Оформлення документації — ведення журналів відпуску лікарських засобів, звітності, рецептурної документації.";McKinsey;"1) Спеціаліст з самообслуговування клієнтів у аптеці — консультує покупців щодо користування аптечними терміналами для замовлення ліків та оплатою.

2) Оператор онлайн-замовлень у фармації — приймає та обробляє замовлення ліків через інтернет-аптеку, контролює оплату та організовує доставку.

3) Консультант у торговому залі з цифровими системами — допомагає клієнтам користуватися мобільними додатками чи електронними каталогами ліків та медичних товарів.

4) Адміністратор розрахункової зони в аптеці — контролює роботу касового обладнання (POS-системи), забезпечує точність розрахунків при відпуску лікарських засобів.

5) Фахівець з клієнтського сервісу (Customer Service Representative) у аптеці — працює з клієнтськими запитами, поверненнями ліків, бонусними програмами та забезпечує високий рівень обслуговування."
Офіціант;74;Високий;"М'які навички (Soft skills):

Комунікабельність — доброзичливе та зрозуміле спілкування з гостями, здатність швидко налагоджувати контакт.

Стресостійкість — здатність зберігати спокій і професійність у напружених ситуаціях або при великому потоці клієнтів.

Уважність до деталей — точність при прийомі замовлень, врахування особливостей дієти, алергій чи побажань клієнтів.

Клієнтоорієнтованість — прагнення забезпечити приємний досвід для кожного гостя, ввічливість та турбота.

Командна робота — ефективна взаємодія з кухнею, баром та іншими членами персоналу для якісного обслуговування.



Технічні навички (Hard skills): 

Знання меню та складу страв — вміння консультувати клієнтів щодо інгредієнтів, смакових поєднань, особливостей подачі.

Робота з POS-системами — прийом замовлень, оформлення рахунків, оплата готівкою та карткою.

Сервірування столів — знання правил подачі страв і напоїв, основи етикету обслуговування.

Основи гігієни та безпеки харчування — дотримання санітарних норм і стандартів HACCP.

Робота з мобільними додатками або планшетами — оформлення замовлень через цифрові системи в сучасних ресторанах.";WEF;"1) Спеціаліст із самообслуговування клієнтів у закладі харчування —консультує гостей щодо користування електронними меню, терміналами замовлень та безконтактною оплатою.

2) Оператор онлайн-замовлень у ресторані / кафе — приймає та обробляє онлайн-замовлення, координує оплату, підтверджує наявність страв і контролює доставку.

3) Консультант у залі з цифровими системами — допомагає клієнтам користуватись мобільними застосунками, електронними меню, системами попереднього замовлення.

4) Адміністратор розрахункової зони в закладі харчування — контролює правильність розрахунків, роботу касового обладнання та підтримує швидке обслуговування на касі.

5) Фахівець з клієнтського сервісу (Customer Service Representative) у ресторані — розв’язує питання гостей щодо сервісу, обробляє скарги, повернення, підтримує високий рівень задоволеності клієнтів."
Кухар;53;Середній;"Творчий підхід і інновації — розробка унікальних рецептів і презентацій страв.

Робота з культурними та гастрономічними трендами — адаптація меню під локальні та світові вподобання.

Управління кухнею і командою — координація процесів і навчання персоналу.

Впровадження здорового та сталого харчування — використання екологічних продуктів і технологій.

Поєднання традицій і нових технологій — інтеграція сучасних технік приготування з класикою.

Співпраця з AI-інструментами — використання ШІ для аналізу смакових поєднань, планування закупівель і оптимізації процесів.";WEF;"1) AI-Augmented Culinary Creator — поєднує творчість з аналітикою ШІ для створення нових страв. 

2) Sustainable Food Designer — розробляє екологічно відповідальні меню з урахуванням локальних продуктів.

3) Culinary Experience Curator — створює унікальні гастрономічні шоу і події.

4) Food Tech Integrator — впроваджує нові технології у кухонний процес (3D-друк їжі, роботизація).

5) Health-Focused Chef — спеціалізується на приготуванні дієтичних та лікувальних страв з індивідуальним підходом."
Менеджер з продажу;37;Середній;"Побудова довірчих відносин — вміння розуміти потреби клієнтів і будувати довготривалі партнерства.

Персоналізовані продажі — адаптація пропозицій під унікальні запити та бізнес-кейси.

Стратегічне планування та розвиток ринку — аналіз трендів, пошук нових можливостей.

Навички переговорів та управління конфліктами — ведення складних переговорів і розв’язання проблем.

Використання AI-інструментів — комбінування аналітики і автоматизації з людським підходом.

Емоційний інтелект — розуміння емоцій та мотивів клієнтів для кращого сервісу.";McKinsey;"1) AI-Augmented Sales Consultant — використовує дані і ШІ для підвищення ефективності продажів.

2) Customer Success Manager — забезпечує повний цикл задоволення потреб клієнтів після продажу.

3) Sales Data Analyst — аналізує ринки і поведінку покупців для оптимізації стратегій.

4) Ethical Sales Advisor — контролює дотримання етичних норм у процесі продажу.

5) Hybrid Sales Coordinator — управляє командами, що поєднують онлайн та офлайн продажі."
Оператор дронів;29;Низький;"Штучний інтелект не замінить операторів дронів, адже керування та адаптація до складних ситуацій потребують людського контролю, уважності та швидких рішень.
Але ви можете покращити такі навички, щоб залишатися конкурентними і розширювати сфери застосування:

М'які навички (Soft skills):
Висока концентрація та уважність — точне керування дронами в різних умовах.
Прийняття швидких рішень — реагування на непередбачувані ситуації.
Комунікабельність — координація з іншими операторами та службами.
Адаптивність — освоєння нових моделей дронів та технологій.
                                                                                                                     Технічні навички (Hard skills):
Знання законодавства і правил безпеки польотів.
Вміння налаштовувати та обслуговувати дрони.
Навички роботи з програмним забезпеченням для планування маршрутів і збору даних.
Ознайомлення з AI-системами для автоматичного аналізу відео і зображень.";MIT, FAA;"Очікується зростання попиту на операторів дронів у таких сферах:
1) Аграрний сектор — моніторинг посівів і оптимізація обробки.
2) Інфраструктура — огляд об’єктів і контроль безпеки.
3) Логістика — доставка товарів і медикаментів у важкодоступні райони.
4) Кінематографія та медіа — зйомка з повітря з високою якістю.
"
Логіст;46;Середній;"Стратегічне планування ланцюгів постачання — розробка гнучких та ефективних логістичних схем.

Аналітика даних і прогнозування — використання великих даних для оптимізації процесів.

Координація між командами та постачальниками — ефективна комунікація та управління відносинами.

Впровадження інноваційних технологій — робота з робототехнікою, автоматизованими складами та IoT.

Управління ризиками — планування дій на випадок форс-мажорів і збоїв.

Сталий розвиток — впровадження екологічних практик у логістиці.";WEF, DHL;"1) AI-Optimized Supply Chain Manager — керує ланцюгами постачання з допомогою ШІ та аналітики.

2) Sustainable Logistics Coordinator — впроваджує зелені практики та знижує вплив на довкілля.

3) Autonomous Fleet Supervisor — управляє автономним транспортом та роботизованими складами.

4) Data-Driven Risk Manager — аналізує ризики та розробляє стратегії їх мінімізації.

5) Logistics Innovation Specialist — впроваджує нові технології і оптимізує процеси доставки."
Пілот;33;Середній;"Супервізія та контроль автономних систем — моніторинг роботи автопілоту і втручання в нестандартних ситуаціях.

Аварійне управління — прийняття рішень у критичних ситуаціях, які не передбачає алгоритм.

Міжособистісні навички — взаємодія з екіпажем, пасажирами і диспетчерами.

Постійне навчання і сертифікація — освоєння нових технологій та стандартів безпеки.

Участь у розробці і тестуванні систем — співпраця з інженерами та виробниками.";IATA;"1) AI-Supervised Pilot — керує і контролює автономні системи під час польоту.

2) Flight Safety Analyst — аналізує дані польотів для підвищення безпеки.

3) Remote Flight Operator — управляє безпілотними літаками та дронами дистанційно.

4) Aviation Technology Trainer — навчає екіпажі роботі з новими технологіями.

5) Emergency Response Pilot — спеціалізується на нетипових і аварійних ситуаціях."
Стюардеса;35;Середній;"Емоційний інтелект і підтримка пасажирів — створення комфортної атмосфери та вирішення конфліктів.

Знання безпеки і надзвичайних процедур — швидке реагування в екстрених ситуаціях.

Міжособистісна комунікація — робота з різними культурами і мовами.

Адаптивність і мультизадачність — управління різноманітними ситуаціями на борту.

Використання технологій для покращення сервісу — інтеграція цифрових інструментів для обслуговування пасажирів.

Підтримка бренду авіакомпанії — позитивний імідж і лояльність клієнтів.";IATA;"1) AI-Enhanced Cabin Crew Specialist — використовує технології для підвищення якості обслуговування.

2) Passenger Experience Manager — розробляє стратегії покращення комфорту і сервісу.

3) Safety and Emergency Trainer — навчає екіпаж і пасажирів діям у надзвичайних ситуаціях.

4) Cultural Liaison Officer — допомагає пасажирам з різних культурних середовищ.

5) Virtual Assistance Coordinator — управляє інтеграцією роботів і чатботів у бортове обслуговування."
Бібліотекар;67;Високий;"М'які навички (Soft skills):

Комунікабельність — доброзичливе спілкування з читачами різного віку, уміння пояснювати інформацію доступно й терпляче.

Організованість — вміння впорядковувати великі обсяги інформації, підтримувати порядок у фондах та систематизації матеріалів.

Уважність до деталей — точність у роботі з каталогами, обліком книжок, термінами повернення.

Стресостійкість — спокійна реакція на складні ситуації, конфлікти або перевантаження.

Клієнтоорієнтованість — бажання допомогти читачеві знайти потрібну літературу чи ресурс, навіть якщо запит нечіткий.



Технічні навички (Hard skills):

Робота з бібліотечними електронними каталогами (ІРБІС, Koha тощо) — пошук, облік, обслуговування читачів.

Знання систем класифікації (УДК, ББК) — правильне групування літератури за тематикою.

Робота з офісними програмами (Word, Excel, Google Sheets) — ведення звітності, списків літератури, аналітики.

Навички оцифрування матеріалів — сканування, редагування, збереження електронних копій.

Ведення документації — оформлення читацьких формулярів, актів списання, щоденних звітів тощо.";OECD;"1) Спеціаліст з самообслуговування клієнтів у бібліотеці — навчає читачів користуватися електронними терміналами для пошуку книг, самостійної реєстрації та повернення літератури.

2) Оператор онлайн-замовлень у бібліотеці —  приймає запити на резервування книг через сайт або додаток, координує видачу та повернення літератури.

3) Консультант у залі з цифровими системами — допомагає відвідувачам користуватись електронним каталогом, читальними планшетами, онлайн-базами даних.

4) Адміністратор інформаційної зони в бібліотеці — контролює роботу ПК, електронних терміналів, Wi-Fi-зони, допомагає відвідувачам із технічними запитами.

5) Фахівець з клієнтського сервісу (Customer Service Representative) у бібліотеці — працює з запитами читачів, вирішує питання втрати книг, прострочення, пропонує альтернативи та додаткові сервіси."
Юрист;40;Середній;"Глибокий аналіз та критичне мислення — оцінка складних кейсів з урахуванням контексту і нюансів.

Персоналізовані консультації — врахування унікальних обставин клієнтів та стратегій захисту.

Навички переговорів і представництва в суді — людський фактор у процесах, які складно автоматизувати.

Етичні знання і комплаєнс — забезпечення дотримання норм права та етики.

Інтеграція з технологіями — використання ШІ для аналізу, але з контролем людини.

Постійне оновлення знань — адаптація до змін законодавства і судової практики.";WEF, Stanford HAI;"1) AI-Assisted Legal Analyst — співпраця зі ШІ для швидшого аналізу документів та кейсів.

2) Ethical Compliance Officer — забезпечення дотримання етичних стандартів у роботі з технологіями.

3) Legal Tech Specialist — впровадження і супровід новітніх технологій у юридичній практиці.

4) Dispute Resolution Facilitator — медіатор і фасилітатор складних переговорів із використанням аналітики.

5) Cyberlaw and Data Privacy Expert — спеціаліст із правових питань цифрового простору і захисту даних."
Лаборант;61;Високий;"М'які навички (Soft skills):

Уважність до деталей — ретельне виконання аналізів, точне дотримання інструкцій і протоколів.

Відповідальність — сумлінне ставлення до забору, зберігання та обробки зразків; дотримання техніки безпеки.

Стресостійкість — здатність працювати у швидкому темпі або в умовах великої кількості зразків без втрати якості.

Командна робота — ефективна взаємодія з лікарями, медсестрами та іншими працівниками лабораторії.

Етичність і конфіденційність — дотримання медичної таємниці, повага до пацієнтів та їхніх даних.



Технічні навички (Hard skills):

Робота з лабораторним обладнанням — центрифуги, мікроскопи, аналізатори, автоклави тощо.

Проведення лабораторних досліджень — загальний і біохімічний аналіз крові, сечі, мазків, ІФА, ПЛР тощо.

Підготовка й обробка біоматеріалів — правильний забір, маркування, зберігання, транспортування.

Робота з лабораторними інформаційними системами (LIS) — введення результатів, облік зразків, генерація звітів.

Знання стандартів безпеки (СанПіН, ISO, SOP) — дотримання санітарно-гігієнічних норм та процедур.";WHO, WEF;"1) Спеціаліст з самообслуговування клієнтів у лабораторії —допомагає пацієнтам користуватись електронними терміналами для реєстрації, видачі результатів або оплати послуг.

2) Оператор онлайн-замовлень лабораторних послуг — обробляє заявки на аналізи через сайт або додаток, підтверджує дати візитів, координує з лікарями та пацієнтами.

3) Консультант у зоні з цифровими системами — пояснює пацієнтам, як підготуватися до аналізів, як переглянути результати онлайн, допомагає з авторизацією у системі.

4) Адміністратор розрахункової зони в лабораторії — контролює оплату послуг, роботу касового обладнання, надає квитанції та супровідні документи пацієнтам.

5) Фахівець з клієнтського сервісу (Customer Service Representative) у лабораторії — відповідає на запити щодо аналізів, допомагає розібратися з результатами, вирішує конфліктні ситуації та працює з відгуками клієнтів."
Терапевт;25;Низький;"Штучний інтелект не замінить терапевтів, адже їхня робота потребує комплексного підходу до здоров’я пацієнтів, врахування індивідуальних особливостей і людського спілкування.
Але ви можете покращити такі навички, щоб залишатися ефективними у сучасній медицині:

М'які навички (Soft skills):
Комунікабельність — здатність пояснювати складні діагнози і рекомендації пацієнтам.
Емпатія — підтримка пацієнтів у складних ситуаціях.
Критичне мислення — аналіз симптомів та прийняття зважених рішень.
Стресостійкість — робота в умовах високого навантаження.

Технічні навички (Hard skills):
Володіння електронними медичними картками та системами моніторингу.
Знання сучасних методів діагностики та лікування.
Навички роботи з телемедичними платформами.
Розуміння застосування AI у підтримці діагностики та планування лікування.";WHO;"Очікується зростання попиту на терапевтів дронів у таких сферах:
1) Телемедицина та дистанційне спостереження за пацієнтами.
2) Розробка персоналізованих планів лікування з використанням AI.
3) Профілактична медицина і програми здорового способу життя.
4) Координація мультидисциплінарної допомоги пацієнтам із хронічними захворюваннями.
"
Радіолог;31;Середній;"Інтерпретація комплексних випадків — аналіз складних або нетипових зображень, що потребують людського досвіду.

Клінічна інтеграція — поєднання результатів з іншими даними пацієнта для комплексної оцінки.

Комунікація з лікарями та пацієнтами — пояснення результатів і рекомендацій.

Постійне навчання та адаптація — освоєння новітніх технологій і методів візуалізації.

Контроль якості та етична оцінка — перевірка роботи ШІ і забезпечення етичного застосування технологій.";MIT, WEF;"1) AI-Augmented Imaging Specialist — співпраця з ШІ для швидшої і точнішої діагностики.

2) Clinical Data Integrator — об’єднує різні джерела інформації для комплексного огляду пацієнта.

3) Radiology Workflow Coordinator — оптимізує робочі процеси із використанням автоматизації.

4) Medical Imaging Ethicist — слідкує за етичним використанням медичних зображень і даних.

5) Remote Imaging Consultant — проводить консультації та діагностику віддалено з допомогою телемедицини."
Музикант;36;Середній;"Творчість та унікальний стиль — створення оригінальних композицій та інтерпретацій.

Виконавська майстерність і імпровізація — живе виконання та взаємодія з аудиторією.

Колаборація та живі виступи — робота з іншими музикантами і живі концерти, де потрібна людська енергія.

Використання технологій — інтеграція з AI-інструментами для створення музики, звукового дизайну і продакшену.

Музична освіта і наставництво — передача знань і розвиток нових талантів.

Інновації в музичній індустрії — створення нових жанрів та форматів.";WEF, SoundCloud;"1) AI-Enhanced Composer — співпрацює з ШІ для створення нової музики.

2) Live Experience Curator — організовує унікальні музичні шоу з використанням технологій.

3) Sound Designer for Virtual Worlds — створює звукові ефекти та музику для VR/AR.

4) Music Data Analyst — аналізує тренди та уподобання слухачів для створення хітів.

5) Music Educator with Tech Focus — навчає музикантів роботі з сучасними технологіями."
Актор;30;Середній;"Емоційна глибина та унікальна інтерпретація ролі — живе вираження почуттів, які важко відтворити ШІ.

Живі виступи та взаємодія з аудиторією — театральні вистави, імпровізації, інтерактивність.

Робота з режисером і командою — співпраця для створення унікального продукту.

Освоєння нових технологій — використання захоплення руху (motion capture), VR/AR, цифрових ефектів.

Навчання та розвиток — постійне підвищення майстерності і адаптація до нових форматів.";WEF, Adobe;"1) Virtual Character Performer — озвучує і анімує цифрових персонажів у віртуальних світах.

2) AI-Assisted Actor — співпрацює з ШІ для створення багатошарових образів і ролей.

3) Immersive Theater Artist — працює у VR/AR-продуктах з інтерактивним сюжетом.

4) Performance Coach for Digital Media — навчає акторів роботі з новітніми технологіями.

5) Ethical Content Consultant — допомагає забезпечити етичність зображення персонажів і сюжетів."